2026-01-27 13:14:29 INFO commands.gen_schemas - Using config from config.yaml
2026-01-27 13:14:29 INFO commands.gen_schemas - Batch size: 1000, Fetch batch size: 10000
2026-01-27 13:14:29 INFO commands.gen_schemas - Refresh schema groups: True
2026-01-27 13:14:29 INFO commands.gen_schemas - === Directory Configuration ===
2026-01-27 13:14:29 INFO commands.gen_schemas - Input directory (source): D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Files will be read from this directory
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Only files with _ingested_analyzed_ prefix will be processed
2026-01-27 13:14:29 INFO commands.gen_schemas - Output directory (destination): D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Files will be moved from input directory to this directory
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Files will be organized into subfolders (group_1, group_2, etc.) by schema group
2026-01-27 13:14:29 INFO commands.gen_schemas - === Starting Schema Grouping Pipeline ===
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 1: Reading files from input directory: D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 2: Refreshing schema_groups table from mrf_analysis data
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 3: Moving files to output directory: D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 4: Organizing files into schema group subfolders (group_1, group_2, etc.)
2026-01-27 13:14:29 INFO src.schema_orchestrator - === Step 1: Skipping shape detection (disabled) ===
2026-01-27 13:14:29 INFO src.schema_orchestrator - === Step 2: Checking for new schema groups ===
2026-01-27 13:14:29 INFO src.schema_orchestrator - Found 0 unique min_file_name values before refresh
2026-01-27 13:14:29 INFO src.schema_orchestrator - === Step 3: Refreshing schema_groups table ===
2026-01-27 13:14:30 INFO src.schema_groups_db - Dropped schema_groups table (refresh requested)
2026-01-27 13:14:30 INFO src.schema_groups_db - Created schema_groups table
2026-01-27 13:14:30 INFO src.schema_orchestrator - Schema groups table refreshed
2026-01-27 13:14:30 INFO src.schema_orchestrator - === Moving files after schema grouping ===
2026-01-27 13:14:30 INFO src.schema_orchestrator - Found 145 file(s) in schema_groups table
2026-01-27 13:14:30 INFO src.schema_orchestrator - Found 145 file(s) in input directory to move (out of 145 total in groups)
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moving 145 file(s) to output directory: D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-G30-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-G30-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-Q64-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-Q64-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X51-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X51-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B31-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B31-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
